primary_topic,topic_count
JAVASCRIPT,30
PANDAS,29
API,26
SQL,24
GIT,23
WEBSCRAPING,20
NODE_JS,19
D3_JS,19
PYTHON,17
CSS,15
VBA,14
MATPLOTLIB,13
REACT,13
PWA,11
SEQUELIZE,11
ETL,11
ML_SUPERVISED,10
FLASK,10
GRAPHQL,9
JQUERY,9
STATISTICS,8
COMP_SCI,8
PLOTLY,7
REDUX,7
MONGO_DB,7
MVC,6
ML_UNSUPERVISED,5
NEURAL_NETWORKS,5
DEPLOY,5
OOP,5
PYSPARK,4
REACT_NATIVE,4
AUTHENTICATION,3
AWS,3
TABLEAU,3
SQLALCHEMY,3
DOCKER,3
PROMISES,2
HTML,2
GEOJSON,2
ACCESSIBILITY,1
LEAFLET,1
EXCEL,1
SQL_ALCHEMY,1
