index,primary_topic
JAVASCRIPT,22
NODE_JS,19
REACT,13
API,13
SQL,12
PWA,11
SEQUELIZE,11
GIT,10
CSS,9
JQUERY,9
GRAPHQL,9
COMP_SCI,8
REDUX,7
MONGO_DB,7
MVC,6
OOP,5
REACT_NATIVE,4
AUTHENTICATION,3
HTML,2
PROMISES,2
DEPLOY,1
ACCESSIBILITY,1
DOCKER,1
AWS,1
